ofac_id,type,uk_id
13377,Individual,13377
13395,Individual,13395
13396,Individual,13396
13406,Individual,13406
13407,Individual,13407
13408,Individual,13408
13409,Individual,13409
13413,Individual,13413
13414,Individual,13414
13416,Individual,13416
13417,Individual,13417
13422,Individual,13422
13431,Entity,13431
13447,Individual,13447
13456,Individual,13456
13471,Individual,13471
13479,Individual,13479
13480,Individual,13480
13481,Individual,13481
